Glass,49.67
Rebar,49.33
Stone,18.33
Cement,36.33
Wallpaper,28.0
Ceiling material,17.0
Drywall,44.0
Non-ferrous metal,46.33
Steel frame,30.67
Soil,45.33
Steel frame structure,43.0
Asphalt shingles,37.33
Concrete blocks,38.0
Fasteners,44.0
Metal mesh,43.0
Brick mortar,33.0
Door frame,37.33
Concrete mixer,37.67
Ladder,48.0
Jackhammer,20.0
Ceiling grid,48.33
Brickwork,35.33
Blinds,43.67
Joint compound,19.33
Wire mesh,48.33
Radiator,37.0
Drywall screws,35.33
Hydraulic push,41.0
Wire cable,34.0
Block wall,34.67
Reinforced concrete block,12.67
Outlet box,17.33
Wooden ladder,48.0
Gypsum base,16.67
Building paper,33.67
Countertop,16.67
Projection base,44.33
Exterior brick,16.33
Building trim,25.67
Ceramic tile,43.67
Projection window,46.67
Hasp,22.0
Door stop,42.0
Brick wall,44.33
Air filter,43.67
Tile joint material,28.0
Stair runner,36.67
